,0,1,2
0,-413.0,5.0,21.0
1,-413.0,6.0,21.0
2,-413.0,7.0,21.0
3,-410.99999999999994,8.0,21.0
4,-409.0,8.0,21.0
5,-402.0,8.0,21.0
6,-401.0,6.0,21.0
7,-398.0,6.0,21.0
8,-317.0,7.0,21.0
9,0.0,0.0,0.0
